IdProject,LoanAmount,IdIndustry,IdReportIndustry,ReportIndName
6881756,69330.0000,616,7,Электроника
6888351,289193.0000,607,1,Машиностроение
6894343,500000.0000,616,7,Электроника
6902121,50446.0000,607,1,Машиностроение
6908285,40000.0000,600,2,Медбиофарма
6931310,442124.0000,608,1,Машиностроение
6941753,500000.0000,603,3,Металлобработка/Металлургия
7124866,60361.0000,601,4,Химия
7172630,5468.0000,604,3,Металлобработка/Металлургия
7226539,87293.0000,594,12,Лесная промышленность
7276178,6913.0000,601,4,Химия
