IdProject,IdCompany,IdManager,IdSupportProgram,LoanAmount,IdIndustry,IdStatus,IdSubindustry,IdRegion,ApplicationNumber,ProjectName,Locality,LoanAgreementDate,IdBudget,LoanAgreementPayement,IdRegionalFund
1454150,15478,NULL,696,1877,607,391056,3635,149,2271,Наименование проекта1454150,Азов,NULL,2,NULL,NULL
1454533,1393401,1273,696,1091,607,20761,3635,164,2302,Наименование проекта1454533,Томск,2017-10-30,2,2017-11-03,NULL
1454833,257423,NULL,692,1749,604,391056,3610,168,2234,Наименование проекта1454833,Воткинск,NULL,2,NULL,NULL
1455005,NULL,1979,692,1850,595,20761,3574,135,2258,Наименование проекта1455005,Москва,2017-06-09,2,2017-06-15,NULL
1460681,360565,2440,692,1633,604,20761,3608,117,2227,Наименование проекта1460681,г. Козельск,2016-12-07,2,2016-12-09,NULL
1465044,1436167,NULL,118,1870,611,391056,3667,130,2240,Наименование проекта1465044,г. Санкт-Петербург,NULL,2,NULL,NULL
1478579,1478147,1935,692,1683,609,20761,3658,102,2269,Наименование проекта1478579,Дятьково,2016-12-23,2,2016-12-28,NULL
1479403,1479056,NULL,692,1343,611,391056,3666,164,2235,Наименование проекта1479403,Томск,NULL,2,NULL,NULL
1480598,531587,NULL,692,1984,607,391056,3635,163,2233,Наименование проекта1480598,Ржев,NULL,2,NULL,NULL
1483301,1457086,NULL,692,1706,601,391056,3589,136,2256,Наименование проекта1483301,г. Ногинск,NULL,2,NULL,NULL
1485046,10256,8320,692,1232,603,20761,3600,105,2248,Наименование проекта1485046,Волгоград,2016-11-09,2,2016-11-14,NULL
1502172,1502079,NULL,692,1721,601,391056,3588,96,2242,Наименование проекта1502172,Барнаул,NULL,2,NULL,NULL
1506902,1506641,NULL,692,1047,610,391056,3659,158,2243,Наименование проекта1506902,Владикавказ,NULL,2,NULL,NULL
1513155,1503407,NULL,692,1275,608,391056,3649,136,2357,Наименование проекта1513155,Дубна,NULL,2,NULL,NULL
1522290,1502371,NULL,745,1429,601,391056,3589,162,2431,Наименование проекта1522290,п.г.т.Уруссу,NULL,2,NULL,2355698
1524584,249259,NULL,692,1681,607,391056,3644,169,2281,Наименование проекта1524584,Чердаклинский район,NULL,2,NULL,NULL
1525356,1525353,NULL,118,1700,610,391056,3659,156,2272,Наименование проекта1525356,Екатеринбург,NULL,2,NULL,NULL
1526098,51573,1935,692,1998,618,391056,0,117,2244,Наименование проекта1526098,Обнинск,NULL,2,NULL,NULL
1528063,8253,NULL,692,1261,618,391056,0,175,2277,Наименование проекта1528063,Чебоксары,NULL,2,NULL,NULL
1529359,1528462,NULL,118,1092,616,391056,20852,152,2262,Наименование проекта1529359,Санкт-Петербург,NULL,2,NULL,NULL
1539279,1537729,1281,692,1882,616,3126344,20850,152,2245,Наименование проекта1539279,Санкт-Петербург,NULL,2,NULL,NULL
1554147,8644,NULL,692,1716,618,391056,0,135,2251,Наименование проекта1554147,Москва,NULL,2,NULL,NULL
1568598,1447999,2440,692,1789,602,277,3590,131,2263,Наименование проекта1568598,ОЭЗ-Липецк,NULL,2,NULL,NULL
1573404,18886,1979,692,1490,602,20761,3592,151,2260,Наименование проекта1573404,"Волжский район, пгт Стройкерамика",2016-12-23,2,2017-05-19,NULL
1577021,1534372,NULL,696,1976,607,391056,3635,139,2252,Наименование проекта1577021,Дзержинск,NULL,2,NULL,NULL
1578025,1499109,NULL,692,1986,744,391056,0,162,2255,Наименование проекта1578025,Казань,NULL,2,NULL,NULL
1578823,1534372,NULL,692,1372,601,391056,3589,139,2253,Наименование проекта1578823,Дзержинск,NULL,2,NULL,NULL
1586415,11787,NULL,692,1443,602,391056,3590,99,2265,Наименование проекта1586415,Астрахань,NULL,2,NULL,NULL
